cod,user_from_name,user_to_name,text,weights
marcosdiaslimaathirson,marcosdiaslima,athirson,"RT @athirson: Um excelente dia a todos, nesta segunda-feira, inclusive pois hoje é aniversário deste exemplo de ser humano, humilde e batal…",1
mulambbos_CRFhenrique,mulambbos,_CRFhenrique,NonNecessary,1
mvrtvalgergarciagrova,mvrtval,gergarciagrova,RT @GerGarciaGrova: #Flamengo - #Independiente. Final Sudamericana 2017. Último antecedente con agresiones fuera del anillo de seguridad. F…,1
mychellk1chapaunifla,mychellk1,chapaunifla,"RT @ChapaUniFla: O ex-jogador do #Flamengo, Lucio Bala, também apoia a candidatura de Rodolfo Landim e Rodrigo Dunshee, da Chapa Roxa.#Lan…",2
nandaliriooldfootball11,nandalirio,oldfootball11,RT @OldFootball11: #Sócrates and #Zico #Corinthians #Flamengo (1979). https://t.co/ElLseUVABs,1
notheagooldfootball11,notheago,oldfootball11,RT @OldFootball11: #Sócrates and #Zico #Corinthians #Flamengo (1979). https://t.co/ElLseUVABs,1
oldfootball111981Olavo,oldfootball11,1981Olavo,NonNecessary,1
oldfootball11AntolianoHerrer,oldfootball11,AntolianoHerrer,NonNecessary,1
oldfootball11CaioAlmeida_,oldfootball11,CaioAlmeida_,NonNecessary,1
oldfootball11NandaLirio,oldfootball11,NandaLirio,NonNecessary,1
oldfootball11Notheago,oldfootball11,Notheago,NonNecessary,1
oldfootball11RReddington7,oldfootball11,RReddington7,NonNecessary,1
oldfootball11andreadag3,oldfootball11,andreadag3,NonNecessary,1
oldfootball11bgsRJ,oldfootball11,bgsRJ,NonNecessary,1
oldfootball11blacktarjiano,oldfootball11,blacktarjiano,NonNecessary,1
oldfootball11ghrman1978,oldfootball11,ghrman1978,NonNecessary,1
pablogaldenciofladomundo,pablogaldencio,fladomundo,RT @FlaDoMundo: Qual desses candidatos à presidência do #Flamengo deve ser eleito para o triênio 2019/2021? #Enquete14 #Eleicoes2018 #Eleiç…,1
paoloribeiro8710jovsb,paoloribeiro87,10jovsb,RT @10Jovsb: 🔴VAMOS LÁ NAÇÃO⚫🔴DÊ RT NESTE TWITTER⚫🔴SIGA QUEM CURTIR⚫🔴SIGA QUEM DER RT⚫🔴SIGA QUEM TE SEGUIR⚫#RNsegueRN  #CRF  #flamengo,1
programarnDenilson_mengao,programarn,Denilson_mengao,NonNecessary,2
programarnJoncal1895,programarn,Joncal1895,NonNecessary,2
rafagarcia322allanmadi,rafagarcia322,allanmadi,RT @AllanMadi: Rodriguinho (ex-Corinthians) é um dos nomes que o #Flamengo cogita para vaga de Paquetá. Já houve consulta de valores.,1
ricardobernardsite_flamengorj,ricardobernard,site_flamengorj,RT @site_flamengorj: Felipe Melo é questionado por não entrar em provocações ao Flamengo e responde: “Respeito o clube que me formou” https…,1
rocioguzman_zgergarciagrova,rocioguzman_z,gergarciagrova,RT @GerGarciaGrova: #Flamengo - #Independiente. Final Sudamericana 2017. Último antecedente con agresiones fuera del anillo de seguridad. F…,1
rreddington7oldfootball11,rreddington7,oldfootball11,RT @OldFootball11: #Sócrates and #Zico #Corinthians #Flamengo (1979). https://t.co/ElLseUVABs,1
sandrocoutober2fladomundo,sandrocoutober2,fladomundo,RT @FlaDoMundo: Qual desses candidatos à presidência do #Flamengo deve ser eleito para o triênio 2019/2021? #Enquete14 #Eleicoes2018 #Eleiç…,1
shulymillonari2gergarciagrova,shulymillonari2,gergarciagrova,RT @GerGarciaGrova: #Flamengo - #Independiente. Final Sudamericana 2017. Último antecedente con agresiones fuera del anillo de seguridad. F…,1
site_flamengorjRicardoBernard,site_flamengorj,RicardoBernard,NonNecessary,1
totalerosdtvgergarciagrova,totalerosdtv,gergarciagrova,RT @GerGarciaGrova: #Flamengo - #Independiente. Final Sudamericana 2017. Último antecedente con agresiones fuera del anillo de seguridad. F…,1
valdecimatheusathirson,valdecimatheus,athirson,"RT @athirson: Um excelente dia a todos, nesta segunda-feira, inclusive pois hoje é aniversário deste exemplo de ser humano, humilde e batal…",1
valdecimatheuschapaunifla,valdecimatheus,chapaunifla,"RT @ChapaUniFla: Rodolfo Landim, no Aqui com Benja!, da Fox Sports, diz por que está preparado para assumir a presidência do #Flamengo e ex…",1
vertonsalesmac1athirson,vertonsalesmac1,athirson,"RT @athirson: Um excelente dia a todos, nesta segunda-feira, inclusive pois hoje é aniversário deste exemplo de ser humano, humilde e batal…",1
zanini_aleathirson,zanini_ale,athirson,"RT @athirson: Um excelente dia a todos, nesta segunda-feira, inclusive pois hoje é aniversário deste exemplo de ser humano, humilde e batal…",1
